AppID,Name,Release date,Estimated owners,Price,Metacritic score,User score,Positive,Negative,Score rank,Recommendations,Average playtime forever,Median playtime forever,Developers,Publishers,Categories,Genres,Tags
Draw & Guess,"Mar 12, 2021",1000000 - 2000000,1741,0,0,0,22445,4053,,23594,540,261,Acureus,Acureus,"Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Trading Cards,Steam Workshop,Includes level editor","Casual,Indie","Casual,Multiplayer,Hand-drawn,Funny,Family Friendly,Experimental,Word Game,Relaxing,Education,Time Management,2D,Abstract,Cartoon,Minimalist,Stylized,Comedy,PvP,Linear,Co-op,Online Co-Op"
Fishing The Abyss,"Dec 16, 2024",0 - 20000,767,30,0,0,69,3,,0,0,0,umaaaaaa studio,umaaaaaa studio,"Single-player,Steam Achievements,Family Sharing","Casual,Indie","Fishing,Lovecraftian,Story Rich,Pixel Graphics,Dark,Idler,Clicker,Retro,2D,Hidden Object,Horror,Relaxing,Exploration,Casual,Robots,Singleplayer,Arcade,Point & Click,Indie,Cute"
Kitchen Crisis,"Apr 2, 2024",0 - 20000,588,0,0,0,119,46,,164,0,0,Team Samoyed,Team Samoyed,"Single-player,Steam Achievements,Full controller support,Steam Workshop,Steam Cloud,Includes level editor,Family Sharing","Casual,Indie","Casual,Tower Defense,Rogue-like,Rogue-lite,2D,Cute,Isometric,Pixel Graphics,Cooking,Funny,Space,Automation,Controller,Deckbuilding,Tutorial,Singleplayer,Aliens,Moddable,Indie"
The Jackbox Party Pack 9,"Oct 19, 2022",0 - 20000,530,0,0,0,55,15,,0,0,0,"Jackbox Games, Inc.","Jackbox Games, Inc.","Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Partial Controller Support,Steam Cloud,Remote Play Together","Casual,Indie","Casual,Board Game,Trivia,Word Game,2D,Cartoon,Comedy,Colorful,Family Friendly,Funny,PvP,Team-Based,Indie,Co-op,Local Co-Op,Local Multiplayer,Party"
Half-Demon Shinobi,"Dec 17, 2024",0 - 20000,460,0,0,0,0,0,,536,347,689,"樹懶叫工作室,紳士吉娃,Maker製造機","Mango Party,LewdLoco,Mango Party News","Single-player,Steam Achievements,Steam Cloud,Family Sharing","Casual,Indie",
Yolk Heroes: A Long Tamago,"May 20, 2024",0 - 20000,429,0,0,0,279,7,,315,0,0,14 Hours Productions,"14 Hours Productions,Astrolabe Games","Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Family Sharing","Casual,Indie","Time Management,Idler,PvE,Life Sim,JRPG,Character Customization,2D,Cute,Parody,Relaxing,Casual,RPG,Pixel Graphics,Fantasy,Class-Based,1990's,Old School,Retro,Combat,Adventure"
I Wani Hug that Gator!,"Feb 14, 2024",20000 - 50000,384,0,0,0,391,3,,437,0,0,Cavemanon,Cavemanon,"Single-player,Partial Controller Support","Casual,Indie","Visual Novel,Choose Your Own Adventure,Story Rich,Interactive Fiction,Dating Sim,Romance,Choices Matter,Casual,Funny,Multiple Endings,Dinosaurs,Cute,Comedy,Text-Based,Cartoony,2D,Drama,Indie,Hand-drawn,Colorful"
Mini Cozy Room: Lo-Fi,"Mar 30, 2025",0 - 20000,381,10,0,0,87,0,,126,0,0,"Tesseract Studio,Nugem Studio",Tesseract Studio,"Single-player,Steam Achievements,Steam Cloud,Family Sharing","Casual,Indie","Music,Cozy,Utilities,Idler,Character Customization,Relaxing,Pixel Graphics,Indie,Casual,Singleplayer,Family Friendly"
Energy Balance,"Jul 2, 2015",200000 - 500000,350,0,0,0,192,87,,0,276,287,Sometimes You,Sometimes You,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Casual,Indie","Indie,Casual,Puzzle"
The Jackbox Party Pack 7,"Oct 14, 2020",100000 - 200000,339,0,0,0,3276,110,,2807,534,334,"Jackbox Games, Inc.","Jackbox Games, Inc.","Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play Together","Casual,Indie","Party Game,Party,Funny,Board Game,Word Game,2D,Team-Based,Comedy,Family Friendly,Colorful,Trivia,Cartoon,Co-op,Local Multiplayer,Local Co-Op,Casual,Multiplayer,Indie,Controller,Singleplayer"
Star Fields,"Aug 6, 2016",500000 - 1000000,334,0,0,0,55,67,,0,231,221,AG media,Back To Basics Gaming,"Single-player,Steam Trading Cards","Casual,Indie","Casual,Indie,Arcade"
Tinboy,"Aug 31, 2015",200000 - 500000,319,0,0,0,299,178,,213,193,211,Interactive Stone,Interactive Stone,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Remote Play on TV,Remote Play Together","Casual,Indie","Indie,Casual,Puzzle-Platformer,Difficult,Singleplayer"
Garden Galaxy,"Dec 14, 2022",0 - 20000,292,0,0,0,117,2,,120,0,0,Anneka Tran,Anneka Tran,"Single-player,Steam Achievements,Steam Cloud","Casual,Indie","Idler,Sandbox,Relaxing,Casual,Isometric,Indie,Nature,Building,Stylized,Cute,Gambling,Family Friendly,Singleplayer"
A Little to the Left,"Nov 8, 2022",0 - 20000,291,0,0,0,169,30,,207,0,0,Max Inferno,Secret Mode,"Single-player,Steam Achievements,Full controller support,Steam Cloud","Casual,Indie","Wholesome,Puzzle,Casual,Relaxing,Cute,Funny,2D,Colorful,Hand-drawn,Cats,Logic,Linear,Hidden Object,Indie,Singleplayer,Cozy,Pixel Graphics,Family Friendly,Free to Play,Multiplayer"
Cozy Grove,"Apr 7, 2021",100000 - 200000,244,0,0,0,4236,469,,4171,1239,1827,Spry Fox LLC,Spry Fox LLC,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Casual,Indie","Relaxing,Story Rich,Collectathon,Hidden Object,Cute,Colorful,Atmospheric,Procedural Generation,Life Sim,Management,2D,Cartoony,Funny,Casual,Character Customization,Surreal,Indie,Crafting,Singleplayer,Cozy"
The Jackbox Party Pack 6,"Oct 16, 2019",200000 - 500000,211,0,80,0,2228,110,,1786,450,222,"Jackbox Games, Inc.","Jackbox Games, Inc.","Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together","Casual,Indie","Trivia,Casual,Indie,Multiplayer,Local Multiplayer,Funny,Party,Comedy,Board Game,Local Co-Op,Co-op,Family Friendly,Party Game,Social Deduction,Singleplayer"
Meowjiro,"Nov 8, 2022",0 - 20000,185,0,0,0,82,18,,110,0,0,02GAMES,02GAMES,"Single-player,Steam Achievements","Casual,Indie","Casual,Life Sim,Cats,2D Platformer,Pixel Graphics,Relaxing,Female Protagonist,Indie,Singleplayer"
Railbound,"Sep 6, 2022",20000 - 50000,173,0,0,0,146,8,,162,0,0,Afterburn,Afterburn,"Single-player,Steam Achievements,Full controller support,Steam Cloud","Casual,Indie","Wholesome,Trains,Puzzle,Strategy,Difficult,Building,Cartoon,Resource Management,Singleplayer,Relaxing,Colorful,Management,Logic,Casual,Transportation,Narration,Isometric,Comic Book,Stylized,Hand-drawn"
Tetris® Effect: Connected,"Aug 17, 2021",100000 - 200000,170,0,93,0,3749,156,,3699,1350,2059,"Monstars Inc.,Resonair,Stage Games",Enhance,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards,Remote Play Together","Casual,Indie","Casual,Puzzle,Colorful,Abstract,VR,Psychedelic,Stylized,Controller,PvP,Score Attack,Tutorial,Co-op,Local Co-Op,Local Multiplayer,Multiplayer,Great Soundtrack,Singleplayer,Indie,Online Co-Op,Beautiful"
My Holiness the Gobliness,"May 16, 2024",0 - 20000,162,0,0,0,0,0,,135,0,0,BFGS,Mango Party,"Single-player,Family Sharing","Casual,Indie",
Tricky Towers,"Aug 2, 2016",1000000 - 2000000,162,0,80,0,11031,1141,,8983,718,183,WeirdBeard,WeirdBeard,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together","Casual,Indie","Party Game,Puzzle,Physics,Casual,Building,Multiplayer,Funny,Family Friendly,Cartoony,Arcade,Local Multiplayer,Singleplayer,Online Co-Op,PvP,Local Co-Op,4 Player Local,Strategy,Party,Colorful,Stylized"
Glass Masquerade 3: Honeylines,"May 30, 2023",0 - 20000,160,0,0,0,106,8,,117,0,0,Onyx Lute,Onyx Lute,"Single-player,Steam Achievements,Steam Cloud","Casual,Indie","Puzzle,2D,Relaxing,Casual,Colorful,Family Friendly,Logic,Atmospheric,Nature,Modern,Retro,Singleplayer,Sequel,Soundtrack,Indie"
14 Minesweeper Variants,"Nov 14, 2022",0 - 20000,151,0,0,0,59,1,,0,0,0,"Alith Games,Artless Games",Artless Games,"Single-player,Steam Achievements,Steam Cloud","Casual,Indie","Puzzle,Logic,Experimental,Minimalist,Casual,Abstract,Difficult,Procedural Generation,Indie,Singleplayer,Strategy"
共鸣 ReMix,"Apr 17, 2024",0 - 20000,129,0,0,0,120,22,,154,0,0,GameSmith,BD Games,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Casual,Indie","Rogue-lite,Bullet Hell,Indie,2D,Rhythm,Rogue-like,Arcade,Cute,Music,Casual,Survival,Singleplayer,Action,Anime,Atmospheric,Action Roguelike,Adventure"
Your Mother,"Feb 28, 2025",0 - 20000,127,0,0,0,3224,334,,2939,14,19,M for Mother,M for Mother,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Steam Workshop,Steam Cloud,Family Sharing","Casual,Indie","Anime,Female Protagonist,2D,Cute,Emotional,Casual,Relaxing,Singleplayer,Online Co-Op,Funny,Dynamic Narration,FPS,Indie,Comedy,Violent,Drama,Rogue-like,Mature,Action,Family Friendly"
Doki Doki Literature Club Plus!,"Jun 30, 2021",200000 - 500000,126,0,81,0,15759,539,,15140,493,384,Team Salvato,Serenity Forge,"Single-player,Steam Achievements,Steam Cloud","Casual,Indie","Psychological Horror,Anime,Visual Novel,Dating Sim,Sexual Content,Cute,Romance,Story Rich,Multiple Endings,Singleplayer,Gore,2D,Violent,Interactive Fiction,Text-Based,Conversation,Dark Humor,Casual,Indie,Choose Your Own Adventure"
Hot And Lovely ：Charm,"Feb 16, 2023",20000 - 50000,123,0,0,0,296,40,,340,0,0,Lovely Games,Lovely Games,"Single-player,Steam Achievements,Steam Cloud","Casual,Indie","Sexual Content,Nudity,Mature,NSFW,Female Protagonist,Cute,2D,Casual,Relaxing,Funny,Indie,Atmospheric,Linear,Singleplayer,Card Game,Visual Novel,Solitaire,Idler,Realistic,Romance"
Grimm,"Jan 6, 2014",1000000 - 2000000,122,0,0,0,30690,912,,257,484,272,Spicyhorse Games,Spicyhorse Games,"Single-player,Steam Trading Cards","Casual,Indie","Indie,Free to Play,Villain Protagonist,Funny,Casual,Fantasy,Comedy,Adventure,Episodic,Singleplayer,Action,Third Person,Trading Card Game,3D Platformer,Cute,Horror,Dark Humor,Puzzle,Platformer,Dark Fantasy"
Treasure Chest Clicker,"Jul 17, 2023",0 - 20000,117,0,0,0,17,0,,0,0,0,Simon Eftestol,Simon Eftestol,"Single-player,Steam Achievements","Casual,Indie","Idler,Clicker,Collectathon,Casual,2D,Puzzle,Physics,Point & Click,Colorful,Cartoon,Creature Collector,Cartoony,Cute,Minimalist,Stylized,Modern,Old School,Quick-Time Events,Score Attack,Singleplayer"
Hentai Bad Girls,"Jul 11, 2019",0 - 20000,104,0,0,0,0,0,,368,261,332,IR Studio,IR Studio,"Single-player,Steam Achievements,Steam Trading Cards","Casual,Indie",
Geometry Dash,"Dec 22, 2014",5000000 - 10000000,10221,0,0,0,182534,12372,,179395,4536,494,RobTop Games,RobTop Games,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Includes level editor,Remote Play on Phone,Remote Play on Tablet","Action,Indie","Difficult,Music,Great Soundtrack,Precision Platformer,Rhythm,Level Editor,2D,Colorful,Singleplayer,Platformer,Character Customization,Arcade,Indie,Side Scroller,Action,Funny,Family Friendly,Casual,Strategy,Adventure"
The Texas Chain Saw Massacre,"Aug 18, 2023",200000 - 500000,9743,0,0,0,6937,1454,,7852,611,522,Sumo Digital,Gun Interactive,"Multi-player,PvP,Online PvP,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Indie","Horror,Multiplayer,Gore,Team-Based,Survival Horror,Action,Asynchronous Multiplayer,Survival,Third Person,PvP,Stealth,Violent,Blood,Cinematic,Atmospheric,3D,Indie,Nudity,Psychological Horror,Strategy"
Risk of Rain 2,"Aug 11, 2020",5000000 - 10000000,9730,0,85,0,199048,7354,,138909,3323,1402,Hopoo Games,Gearbox Publishing,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Full controller support,Steam Cloud,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Action,Indie","Third-Person Shooter,Action Roguelike,Multiplayer,Action,Rogue-lite,Co-op,Looter Shooter,Rogue-like,Loot,Shooter,Online Co-Op,Difficult,Third Person,Indie,Survival,Singleplayer,Soundtrack,Great Soundtrack,Early Access,Bullet Hell"
Cuphead,"Sep 29, 2017",2000000 - 5000000,6953,0,88,0,107896,3869,,98621,763,436,Studio MDHR Entertainment Inc.,Studio MDHR Entertainment Inc.,"Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together","Action,Indie","Difficult,Cartoon,Platformer,Co-op,Great Soundtrack,Local Co-Op,2D,Hand-drawn,Multiplayer,Indie,Retro,Cartoony,Bullet Hell,Action,Shoot 'Em Up,Side Scroller,Singleplayer,Colorful,Funny,Atmospheric"
Dome Keeper,"Sep 27, 2022",200000 - 500000,6025,0,0,0,1017,155,,1307,251,251,Bippinbits,Raw Fury,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards","Action,Indie","Aliens,Rogue-like,Survival,Resource Management,Base-Building,Singleplayer,Sci-fi,Action,Pixel Graphics,Tactical,Real-Time,Replay Value,Time Management,Mining,Action RPG,Arcade,Space,Perma Death,Management,Tower Defense"
Warhammer: Vermintide 2,"Mar 8, 2018",2000000 - 5000000,5603,0,82,0,73796,14606,,65642,2032,615,Fatshark,Fatshark,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support","Action,Indie","Games Workshop,First-Person,Co-op,Dark Fantasy,Violent,Hack and Slash,Gore,Action RPG,Fantasy,Action,Online Co-Op,Rogue-lite,Multiplayer,PvE,Atmospheric,FPS,Survival,Adventure,Indie,Singleplayer"
"Warhammer 40,000: Boltgun","May 23, 2023",100000 - 200000,4282,0,0,0,4008,230,,4058,116,163,Auroch Digital,Focus Entertainment,"Single-player,Steam Achievements,Full controller support","Action,Indie","FPS,Action,Pixel Graphics,Shooter,Warhammer 40K,First-Person,Old School,Arcade,Retro,Gore,Violent,Demons,1990's,Sci-fi,Singleplayer,Fantasy,Indie"
The Headliners,"Jan 30, 2025",0 - 20000,4222,0,0,0,2095,327,,2136,120,162,KAFI,KAFI,"Single-player,Multi-player,Co-op,Online Co-op,Full controller support,Family Sharing","Action,Indie","Online Co-Op,Action,Horror,Co-op,Funny,Multiplayer,Indie,Action-Adventure,Team-Based,Destruction,Gore,First-Person,Souls-like,Atmospheric,Dark,Singleplayer,Violent,Survival Horror,Sexual Content,LGBTQ+"
Dead Cells,"Aug 6, 2018",2000000 - 5000000,3368,0,89,0,106495,3213,,94538,2093,1106,Motion Twin,Motion Twin,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Action,Indie","Rogue-lite,Pixel Graphics,Rogue-like,Souls-like,Metroidvania,Difficult,2D,Replay Value,Action Roguelike,Indie,Action,Roguevania,Hack and Slash,Platformer,Singleplayer,Atmospheric,Dark Fantasy,Early Access,Procedural Generation,Funny"
Friends vs Friends,"May 30, 2023",100000 - 200000,3153,0,0,0,1741,420,,2072,249,128,Brainwash Gang,Raw Fury,"Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Leaderboards","Action,Indie","Platformer,First-Person,3D,PvP,Team-Based,Deckbuilding,Strategy,Card Battler,Arena Shooter,Combat,FPS,Action,Pixel Graphics,Shooter,Old School,Retro,Indie,Violent,Arcade,Online Co-Op"
Rivals of Aether II,"Oct 23, 2024",200000 - 500000,2723,10,0,0,2431,391,,1875,195,204,Aether Studios,"Aether Studios,offbrand games","Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Achievements,Full controller support,In-App Purchases,Remote Play Together,Family Sharing","Action,Indie","Fighting,Multiplayer,Indie,2D Fighter,Action,Local Multiplayer,4 Player Local,Fantasy,Combat,2.5D,PvP,Co-op,Controller,2D Platformer,Competitive,Platformer,Fast-Paced,Colorful,Games Workshop,Casual"
